,track_id,track_name,artist_name,genre_id,genre_names,lyrics,lyrics_source
0,182569161,Lykkelig (Acoustic),D.Sound,"[1066, 1057, 15]","['New Acoustic', 'Downtempo', 'R&B/Soul']","Pag sapit ng dilim
Iiwanan ang mga alalahanin
Maghahanap, magtatawag ng kasama
Walang pakialam
Sa sasabihin ng iba
Konting-konti na lang
At ako'y iindak nanaman

Mukhang handang-handa nang
Magpakawala
Hindi mapipigilang magsaya
Ating malilimutan, mga hinaharap
...

",MusixMatch
1,159046130,Sa Susunod Na Lang,PDL feat. Skusta Clee & Yuri,[15],['R&B/Soul'],"Ha! Gusto ko lang naman makausap ka eh.
You know, you know, I just wanna talk.huh

Dobidodoop doop daraahh ehh.

Halos limang oras na akong nag-aantay sa iyo
Nag-aabang ako sa labas ng bahay niyo
Sipat ng sipat kung sisilip ka ba sa bintana
Magpakita ka'y parang 'di yata

Ilang beses ka nang lagi na lang ganyan
Kung iwasan ako'y parang ayaw akong nandyan
Sa susunod na punta ko'y pagbuksan mo na sana
Kase kahit anong mangyari ay 'di ako mawawalan ng pag-asa

Ayaw kitang pilitin kung 'di ka pa handa
Sa susunod nalang, sa susunod nalang
Ayaw kong nabibitin kaya mabuti pang
Ako'y uuwi nalang, sa susunod nalang

Napupuyat nako kakapa-alala
Kumain at mag-ingat kung sakaling maggala ka
Laging sinisipat ang imahe ng dalaga
Na pangarap makasama ko sa hirap at ginhawa
Tipikal na dahilan ng tagahanga mong
Hindi naghahanap ng iba kahit na nababatong
Naghihintay sayong sagot sa'king mga tinatanong
Habang ang pamantayan mo ay pilit kong tinatalon
Kase alam ko na hindi ka pa handa
May gusto kang makita pa sa'kin at madama
Kaya 'eto ako naghahanda 'kong madapa
Kung mabigo sa ngayon ayos lang kase may bukas pa
'Di nauubos yun kaya kahit kumukunot na ang noo ko
Ay sa alon naten ay sumusunod nalang
Susuyuin ka kahit hindi mo pa mapunuan
Yung ikaw sa salitang tayo ayos lang sa susunod nalang

Ayaw kitang pilitin kung 'di ka pa handa
Sa susunod nalang, sa susunod nalang
Ayaw kong nabibitin kaya mabuti pang
Ako'y uuwi nalang, sa susunod nalang

Ayaw kitang pilitin kung 'di ka pa handa
Sa susunod nalang, sa susunod nalang
Ayaw kong nabibitin kaya mabuti pang
Ako'y uuwi nalang, sa susunod nalang

Ayaw kitang pilitin kung 'di ka pa handa
Sa susunod nalang, sa susunod nalang
Ayaw kong nabibitin kaya mabuti pang
Ako'y uuwi nalang, sa susunod nalang",
2,43600153,Bespren,Coach Jungee feat. Yeng Constantino,[15],['R&B/Soul'],"Bestfriend (Bespren)
Ang hirap mong hanapin (Ang Hirap mong hanapin)
Buti na lang (Buti na lang)
Mabutina lang (Mabuti na lang)
Yeng C. (Yeng C.) ahh...
Coach Jungee (Coach Jungee)
That's me (yeah)
One love (one love)
Here we go! (Here we go!) ah haha

Nung una ang akala ko ay kaya ko
Maneobrahin ang buhay ko, hay naku!
Eh ang yabang-yabang ko naman, naman kasi
Parang bang ang kapalaran ay inaapi
Kakayanin ba naman kaya ng powers?
Kahit na ilang gallon dugo at pawis
Di ba sabi nga nila ang greatest love of all
Mahalin mo ang sarili mo oks na yun tol

Oops! Oops! Preno teka muna
Buti pa tumabi, pumarada
OOps, oops! Pihit manibela
May lubak sa gitna ng kalsada
Deadma pa ba? Kung halos ay ngarag na
Wooh, panu nga ba?
Papano kung wala ka?

Mabuti na lang ikaw ang bespren
Syang matalik kung kaibigan
Mabuti na lang, mabuti na lang
Palagi ka na lang andiyan
Mabuti na lang ikaw ang bespren
Syang matalik kung kaibigan
Mabuti na lang, mabuti na lang
Palagi ka na lang nandyan
...

",MusixMatch
3,189995224,Exchange Gift,ALLMO$T,[15],['R&B/Soul'],"Naaalala mo pa ba ko
Oh, pwede bang bati na tayo oh
Kalimutan mo na yung mga nakaraan
May pagkakataon pa para merong masimulan

Naaalala mo pa ba ko
Oh, pwede bang bati na tayo oh
Kalimutan mo na yung mga nakaraan
May pagkakataon pa para merong masimulan

Ngayong pasko ay magbigayan
Kung may galit magpatawad
'Yan lang ang mahalaga
'Yan lang ang mahalaga

Dahil 'di naman kasi sa galit nakukuha
Pagiging masaya mo ang pinakauna
Ang dapat na gawin ay magpatawad ka na
'Pagkat hindi rin masama na magbigay sa iba
Kahit 'di pa nakaplano sa iyo
Wala ng dapat ikatakot sa kung ano
Man ang kalalabasan, isipin mo lang
Na mas mahirap din kapag wala kang pagmamahal
Sa mundong 'to ay 'di naman tayo payabangan
May rason kung bakit tayo nagkakaganyan
Wag mo lang kalilimutan ang paghuhugutan
Mo ng lakas ay ang nasa taas siya lang ang 'yong paniwalaan
Ialay mo lang lahat nang gumaan
Ang loob mo kung ano man ang 'yong dahilan
Ang nangyari ay lumipas na at dumaan
Ayusin nalang natin ng wala ng pagsisihan

Naaalala mo pa ba ko
Oh, pwede bang bati na tayo oh
Kalimutan mo na yung mga nakaraan
May pagkakataon pa para merong masimulan

Ngayong pasko ay magbigayan
Kung may galit magpatawad
'Yan lang ang mahalaga
'Yan lang ang mahalaga

Isipin ko kaya 'pag nawala ka na
Masyadong malala kapag nangyari talaga
Paano ba 'ko
Kapag ika’y sumuko
Hindi na 'to maibabalik sa simple kong regalo
Pagod na 'ko na magpanggap na tayo’y masaya
Ayusin natin na agad kapag lumalala
Alam naman natin pareho sa isa’t isa
Palagi tayo nag-aaway
'Pag nakakasama ka
Bakit hindi mo pa sabihin
Ayokong uulit-ulitin
Masyado ka nang matampuhin
Seryoso ako sa'ting pag-ibig
Ayoko na kasi mawala ka
Puro away at bati nakakasawa
Minsan lang naman tayo magkakasama
Ano man ang mangyari, mahal kita

Naaalala mo pa ba ko
Oh, pwede bang bati na tayo oh
Kalimutan mo na yung mga nakaraan
May pagkakataon pa para merong masimulan

Ngayong pasko ay magbigayan
Kung may galit magpatawad
'Yan lang ang mahalaga
'Yan lang ang mahalaga

Yuh!
Minsan 'di ko na masagot
Ang mga text at tawag niyo
Dahil palaging pagod
Pasensya na kung mas napili ko na magkalayo
Pero asahan pag-uwi ko ay babawi ako
Nakakamiss kayo na laging kasama
Madalas na hinahanap-hanap luto ni mama
Hindi na ko makahintay na makabalik
Para makakwentuhan at makainuman si papa
Ang bawat paguwi, gusto laging surpresa
Pagdating ng hapunan ay kumpleto sa mesa
Pagkatapos pupunasan ko mga luha sa mata
Ni mama ng dahil sa telenovela
Laking salamat ko sa Diyos kayo’y binigay
Hindi malilimutan ang pangaral niyo at gabay
Basta alam ko na andyan kayo at sumusuporta
At ramdam ko ang pagmamahal niyo sa'kin na sobra

Naaalala mo pa ba ko
Oh, pwede bang bati na tayo oh
Kalimutan mo na yung mga nakaraan
May pagkakataon pa para merong masimulan

Ngayong pasko ay magbigayan
Kung may galit magpatawad
'Yan lang ang mahalaga
'Yan lang ang mahalaga
'Yan lang ang mahalaga

Mga magandang ala-ala nating
Ngayon sa'kin nagpapangiti
'Di ko naman akalain
Na sa away rin pala mauuwi
Ang hindi na magbati ay 'di na bago
Kaya ako ay humihingi ng kapatawaran sa ‘yo
Ahhhh
Hindi ko na matiis
Ahhh
Parang ika'y namimiss
Ko oho oho
Patawarin mo na ako oho oho
‘Wag na sanang
Pahabain pa
Ang galit sa
Isa't isa

Ngayong pasko ay magbigayan
Kung may galit magpatawad
'Yan lang ang mahalaga
'Yan lang ang mahalaga",
4,157573520,Rubberband,ALLMO$T feat. FTD,"[15, 18]","['R&B/Soul', 'Hip Hop/Rap']","'Di ba sabi mo noon
Walang bibitaw saating dalawa
Pinangako mo pa yun
Ako lang talaga’t walang iba
Walang iba, sumagot ka naman
Gusto ko lang naman maintindihan
Kung ano talagang na-isipan
Please lang, gumawa ka ng paraan
Para ako’y makita, para ako’y matikman
Alam mo ba miss na miss na kita
Baby, halika na
Sobrang lungkot na talaga
'Pag wala ka dito sa tabi ko
Lalo na pag napaisip pa sa’yo
Wala nang magawa kung 'di tumulog nalang
Para ikaw ang mapanaginipan ko
Ikaw ang nasa puso’t isipan ko
At panalangin na habang buhay na 'to

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Bakit nga ba hinayaan
Natin to na mawala
Ano nga ba ang mga rason na sa atin nagdala
Na tapusin ng maaga ang ating nasimulan
Hindi na natin maibabalik
Mga panahon na dating tayo   ay sabik
Dahilan kung bakit tila nawalan na ng gana
Magbigay ng pagpapahalaga at umibig pang ulit
YAH!!
Sabihin mo sakin ano ang problema kung bat naririto
Hindi yung babalik ka lamang kung kailan mo lamang gusto
Handa naman akong magsilbing balikat kapag malungkot
Pero asahan mo na di na ko babalik, at yan ang totoo

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Nandyan ka nanaman
Tukso ang dala dala
Ano ba ang 'yong kailangan
Walang ibang matakbuhan
O wala ka lang mahanap
Na tunay na magmamahal
Sa katulad mo
Kundi ako lang
Pero...
Hanggang ngayon ay sariwa parin
Ang mga ala-ala, na iyong iniwan
Di basta matalikuran madalas
Balik tanawin, ganon ka parin
Walang pinagkaiba sa dati 'nung ikaw ay makilala
Mga oras na kasama kita ay maligaya
Ako'y nagsunod-sunuran
Ngunit ang 'yong balak
Lang pala nung umpisa pa lamang ako ay utuin
Ako naman si tanga
Na umaasang kaya mo rin akong mahalin
Ang galing mo rin, dahil alam mo na di kita matitis
Kaya di ko na ninais na muling mapalapit
Kaya Kung pwede ba ay lumayo ka sandali
Isipin ko muna kung puso ba ay sususndin
Sapagkat akoy dala na pagod na kakaluha
Sa bangungot mong dala ay matagal nang nagising

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran

Paligid ay palaging masyadong malamig
Itong pagibig natin aminadong nasaid
Kahit pa pilitin nating tumawid
Alam ko na wala rin namang makikinig
Kapag ka sumasagi ay nakakasabik
Muli na maranasan ulit na makilig
Kaso mukang malabo na yatang bumalik
Kung ating napamuka na isarado ang bibig
Bintana'y binuksan at idinungaw ang mata
Nakita kita na ikaw din ay nagiisa
Ako ay bumaba na para makausap kita
Kahit na pano'y lumuwag ang paghinga
Hindi talaga natin gustong magkaganito
Alam ko naman na ayaw mo narin ng gulo
Kaso sa totoo lang kasi ay aminado
Ako na hindi na din kita kaya na masalo

Nung ika'y lumapit
Ako'y biglang napakapit
Nag tataka kung bakit
Muli kang sumasabit
Sa buhay ko
Diba tapos na tayo?
Ano ang dahilan bakit ka pa naririto?
Ngayo'y nag babalik
Ikaw ba ay nananabik?
Sakin o sadyang wala ka lang matakbuhan?
Ano ang katotohanan ng ating kamustahan
Nanjan kapag may kailangan tapos ako'y tatalikuran",
5,148559015,Paano Na,JP Bacallan feat. Because,[15],['R&B/Soul'],"Binigay kong lahat sayo
Inubos ko lahat ng pagod ko
Lintik na pag ibig to
Bulag kahit gising ang diwa
Iniwan mo ko sa dilim
Na para bang wala lang
Ngayon ako'y nagdurusa
Ang puso wala na
Minahal kita ng todo ngayon ako'y litong lito
Yeah
Yeah
Yeah
Yeah
Alam mong mali na bakit mas pinili mo pa
Ang desisyon na alam mong ikaw lang ang liligaya yeah
Ngayon pa'no na pa'no na
...

",MusixMatch
6,151396250,All I See,Because,[15],['R&B/Soul'],"Lalakbay na para bang kanina lang nangyari
Naalaala ko pa na para bang kanina lang nangyare
Teka yuh teka yuhhh teka yuhhh para bang kanina lang nangyari

Nakahigat mag uumaga na di makatulog
Kasabay ng buwan aking mata sa pag lubog
Binuksan aking telepono at baka may mag dulot ahhh
Litrato mo agad ang sumalubong
Biruin mo nga naman ulo koy mainitin
Pikon agad sa mangyari kahit di bagong gising
Di pansin sa pag kagat na merong nakatagong sili
Sana hinayaan ang mata na nakapiring
Pero di nag sisi naalala ang lahat
Pinaka nag paiyak saakin sya rin pinaka nag pasaya
Utak hinahatak pabalik sayo na parang talangka
Binuhay ang ugat ng bulaklak na nalanta

Ngayon napaisip parang sa loob loob merong gustong sabihin
...

",MusixMatch
7,151396239,Intro,Because,[15],['R&B/Soul'],"Aking dibdib ay puno na ng sugat
Aking pagpikit kasabay ng aray
Ang tamis sa akin na nagmulat
Karanasan ko ang laging gabay
Sa mga binuo ko na sulat
Maraming beses akong nadapa
Bagong matutong, bawal makupad
Ang dami pang nagbubulungan
Sabing

'La daw 'kong makakamit
Ngayon sila ay bilib
Lahat ng aming pinaghirapan
...

",MusixMatch
8,191256191,Isang Gabi (feat. Jom),Soulstice,[15],['R&B/Soul'],"Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? Ano ang dahilan? Woah
Hindi ko maintindihan kung pano
Mo nagagawa para bang lahat ng 'to ay nakaplano
Alam kong wala akong pagkukulang pero bat mo ba nakukuhang
Umalis ng wala manlang pasintabi, magulang ka pa sa magulang
Bakit ba di ako mapakali gusto ka pa din katabi
Madalas nag-aabang sa iyo habang ikaw ay puro ka lamang salisi
Bawat gabi di na maipinta mukha ko sa tabi-tabi
Gusto ko lang malaman kung ano ba talaga kasi ayoko maniwala sa mga sabi-sabi la la la la
Wag kang mag-alala dahil pakikinggan naman kita
Minu-minuto kita na iintindihin at pasasayahin kahit pa
Kaso lang hindi na ako yung buo ang tiwala dahilan ng kawalang bahala mo sakin
Tutal dyan ka masaya pero di pwedeng ako lang yong kawawa
Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? ano ang dahilan? woah
Bakit ba hin di ko maipaliwanag
Parang kanina nag-uusap lang sa tawag
Biglang nagbago ang ihip ng hangin
Madalas na yatang ganyan ka sa akin
Sinong may diprensya hindi ko na malaman
Sa lahat ng kalokohan mo wala kong kinalaman
Ano ang aking gagawin ang hirap mong intindihin
Pilit kitang inuunawa pero bat ganun pa din
Ano ang paniniwalaan ano ang totoo
Sino ba satin nagsasabi ng totoo
Ayokong umabot sa punto na tayo magkalokohan
Ang pakiusap ko sana ay magawa mo ko na pahalagahan
Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? Ano ang dahilan? Woah
Sana alam ko na yung dahilan
Madami ang babae na nagkandarapa dyan
Sa pwesto mo oh please ano ba ang dahilan
Bat di mo oh idaan sa usapan
Yung mga lambing mo yun laging hanap ko
Isipin mo ng mali ay di ko magagawa
Madalas topakin ka ang maglambing ay wala
Ang umalis ka ng bigla hindi ko kinaya
Teka lang chill muna tayo pag-usapan natin to
Tila bang pinaikot mo lang ang aking mundo
Sa dami-dami ng ginawa ko sayong napakaganda
Tila ba mali ko pa ang lagi mong nakikita
Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? Ano ang dahilan? Woah
Bat umalis lahat naman ay ginawa para sayo
Di nainis kahit ako ay nagmukhang tanga sayo
Bakit parang lahat ng ginagawa ko ay mali para sayo
Tapos ikaw pa ang may gana na magsabi na nakakasawa na ako
Wala naman akong ginawa kundi suyuin ka gabi-gabi
Ang gusto ko lang naman ay makasama, mayakap ka't makatabi
Malabo na ngang maayos pa ang relasyon natin
Kaya magpapaalam na pasensya di ko na kinaya
Di na kita kilala ika'y ibang iba ika'y nagbago na (Soulstice)
Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? Ano ang dahilan? Woah
Sino bang may diperensya sa ating dalawa
Tingnan mo muna ang sarili mo bago manghusga
Isang gabing puro usapan kung bakit ka nang-iwan
Ano ang dahilan? Ano ang dahilan? Woah",
9,200451461,Uuwian,Emman,[15],['R&B/Soul'],"

Babalik at tatabi
Nasasabik sa halik
Namimiss ka
Namimiss na ma kiss
Mga labi mong pula na manamis namis

Baka naman pwede bang mapagbigyan
Di ko man alam ang kahahantungan ng
Byahe diretso lubak man ang daan
Bagahe mabigat ang dami ng laman

Maligaw man sa pupuntahan
Ikaw rin naman ang babalikan
Hintay ka lang at ako rin ay pauwi na
Sa byaheng to hindi ko rin kaya na mag isa

Dito kana, pwede bang dito ka lang?
Nung wala ka sa piling ko nasan ako yun ang di 'ko alam
Sakay kana at ikaw na ay itatanan
Sa byaheng 'to gulo ng mundo'y iiwanan

Dito ka na, pwede bang dito ka lang?
Nung wala ka sa piling ko nasan ako yun ang di 'ko alam

(Ohh ikaw lang)

Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian

(Sandali)

Sandali nalang ako ay parating na... sayo.
Konti nalang sa nasa harap pasintabi naman,
(Excuse me po)
Makikiraan

'La bang pila ba't nag-uunanhan?
Wag mag tulakan
Lahat naman tayo makakarating rin sa pupuntahan
Kailangan mo lang ay ang tatagan

Pwede atrasan
Pag 'di kaya wag palagan
'Di naman kaduwagan
Kung sayo maraming paraan

Hintay ka lang at ako rin ay pauwi na
Sa byaheng 'to hindi ko rin kaya na mag-isa

Dito ka na, pwede bang dito ka lang?
Nung wala ka sa piling ko nasan ako yun ang di 'ko alam
Sakay kana at ikaw na ay itatanan
Sa byaheng 'to gulo ng mundo'y iiwanan

Dito ka na, pwede bang dito ka lang?
Nung wala ka sa piling ko nasan ako yun ang di 'ko alam

Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Ikaw lang ang uuwian
Magulo man ang daan
",
